question,Topic,answer,category,subcategory,satisfied
"I made a purchase 4 days ago from Nike for $200, but my balance shows $182 and not sure why there's a difference. Payment was due yesterday. I added more money before paying, but nothing is reflected.",-1,It seems like your balance doesn't match due to possibly an error in reflecting the payment or additional charges after the purchase. Please double-check any notifications related to the payment or pending transactions to verify the actual amounts involved.,Products & services,Klarna balance,1
can you cancel my one-time card? I got one because I wanted to buy a new hairdryer but I've changed my mind,1,"To adjust or cancel a one-time card you used for purchasing, you need to initiate a cancellation with the store where you made the purchase. Once the store confirms the cancellation, ""your refund is processed as soon as we receive the refund or cancellation confirmation from the store.""",Products & services,One-time card,1
any stores that accept klarna in downtown toronto?,0,"You can use the Klarna app to search for stores that accept Klarna. Simply open the app, go to the shopping section, and you'll find an extensive list of partner stores where you can shop using Klarna.",Products & services,How to use Klarna,1
I bought Nike Air Max shoes for $200 with Klarna and the payment is due tomorrow. Are there any interest or fees that I'll have to pay with my plan?,1,"Klarna offers interest-free payment plans if payments are made on time. Since your payment is due tomorrow, as long as you pay it by the due date, you should not incur any interest or fees.",Products & services,Payment options,0
"I just purchased a Dyson V11 vacuum for $599 on your app three days ago using the installment plan, but I'd prefer to pay it all at once now. Can I switch from installments to full payment directly through the app?",1,"Yes, you can switch your payment plan from installments to full payment using the Klarna app. Simply log in to the app and manage your payment preferences. [Klarna app](https://login.klarna.com/na/lp/idp/oauth2/auth?client_id=639c2886-026e-452f-b5fc-096683d95b0e&redirect_uri=https%3A%2F%2Fapp.klarna.com%2Fauth%2Fcallback&nonce=YBevdEe0IF2-sInml8dHQA&response_type=code&scope=openid+offline_access+default&state=SpJBkAcgIRPICZ8Yh2c2Zg&market=US&ui_locales=en-US&code_challenge_method=S256&code_challenge=2wCCL7az9jdBbHIEjW0U00dK2TKLQ8OFwQmtID0VFHQ&mode=login&funnel_id=21def097-09ac-4515-b783-946b3ef21d5b&device_id=undefined&klarna_app_flavor=pink&klarna_app_version=24.47.209%2B10&audience=access).",Products & services,Payment options,0
"I made a $130 purchase for Nike shoes using a one-time Klarna card two days ago, but now I need to return them. How do I cancel this payment method since it was a one-time card? The store won't process my return without the original payment method",1,"To adjust or cancel a one-time card, you would typically need to log into your Klarna app and manage your payments from there. However, if you encounter any issues, it's best to contact Klarna customer service directly through the app for immediate assistance.",Products & services,One-time card,0
"I used a Klarna one-time card to purchase Nike shoes last week, but it declined. What happens to the leftover $100 I put on the card?",-1,"No worries! If the one-time card wasn't used, the funds added should automatically return to your original payment method shortly.",Products & services,One-time card,1
I ordered a pair of Bose headphones for $299 three days ago using Klarna. But now I see a different balance than expected. I thought the money I added was enough. Why doesn’t it show right?,-1,"Discrepancies in your Klarna balance can occur due to pending authorizations or adjustments in payment processing times. If clarifying the balance through your transaction history in the Klarna app doesn't clear up the confusion, it might be helpful to contact Klarna support for a detailed breakdown.",Products & services,Klarna balance,1
"Nike hasn't replied about the $250 refund I claimed for the Air Max I returned 15 days ago, and I'm getting worried. Could this delay cause any issues with my Klarna payments?",-1,"It can take up to 14 days for refunds to process and the balance of your connected payment method to update. If it's been longer and you haven't received confirmation from Nike, try checking with Klarna by signing in to ensure the refund hasn't bounced back due to any changes in your payment methods or a possibly closed account. Any remaining payments should have been canceled, and you should receive notifications for the same after the store confirmation.",Refunds,Manage refunds,1
"I bought a Dell laptop for $1200 through Klarna and returned it 10 days ago. The store gave me store credit but I just want the money back in my bank. Is there a way to get my refund as cash instead of credit, because it's been over a week now and I'm worried it might have bounced back?",3,"If the store’s policy only allows refunds as store credit, you're still responsible for Klarna payments for that purchase. If you havent received your refund after 14 days, it might have bounced back to Klarna. ""Should the store’s return policy only allow refunds in the form of store credit, you are still responsible for your payments to Klarna associated with that purchase.""",Refunds,Manage refunds,1
"My order from Zara, worth $189, was returned 5 days ago, but I haven't seen a refund in my bank account yet. Why is it taking so long? I need my money back, not store credit!",3,"Refunds can take up to 14 days to process and reflect in your bank account. Please ensure that the store's policy doesn't limit refunds to store credit. If it's been more than 14 days, check if there were any changes with your bank account, and let us know.",Refunds,Manage refunds,1
"I bought a pair of Bose headphones for $229 from TechGadgetz last week using Klarna and decided to return them. The store's policy only gives store credit, but I'd like my money back instead. Am I able to get a refund to my card instead of just store credit? The refund process confuses me a bit.",3,"According to the store’s policy, they might issue refunds as store credit, which means you're still responsible for your payments to Klarna. To get a direct refund back to your card, please contact both the store and Klarna for assistance. Although refunds usually take up to 14 days, ensure your payment method is up-to-date to avoid any delays.",Refunds,Manage refunds,1
"sent back a Samsung Galaxy Tablet I bought for $349 three days ago and I still didn't get my refund, only a store credit. What's going on?",3,"It can take up to 14 days for refunds to process and the balance of your connected payment method to update. You will receive an email and an [app](https://app.klarna.com/login/) notification with updated refund information. If the store’s return policy only allows refunds in the form of store credit, it may affect how your refund is processed.",Refunds,Manage refunds,1
" I selected Klarna as my payment option because my grandson said it would let me pay in smaller amounts. But when I tried to complete the purchase, a message appeared saying my payment was declined. I don't understand why this happened. I've always paid all my bills on time and have used my Visa card for 15 years without any problems",0,"The payment was declined because Klarna's automated approval is based on credit data. Check the pop-up message at checkout for the decline reason, as it evaluates real-time credit information from bureaus and existing debt levels.",Declined purchase,Declined Purchase,1
change my email to john@gmail.com for the payment notifications please!,-1,"To change your email address, chat with our Customer Service. They will guide you through the process for your active payment plan.",Account & settings,Manage account,1
"My $150 purchase of Nike Air Max shoes was declined even though I've got funds, what's up with that?",4,"Rest assured, declined purchases do not impact your credit score.",Declined purchase,Declined Purchase,0
Purchased a Dyson Airwrap for $550 using 'Pay in 30 days' last week. Just checking if there are any interest or fees I need to worry about.,-1,No need to worry! There is no fee to use ‘Pay in 30 days’!,Products & services,Payment options,1
"Just got a Peloton bike for $165 a couple of days back and my payment is due tomorrow.  I need to change my bank account to a different account due to some issues with my financing, how can I do so asap?",1,"Changing your bank account details today might cancel your scheduled payment, but adding a new account is possible after rescheduling payments. Also, altering card details within 3 days before a payment due date isn't allowed, so update earlier. Since your Peloton bike payment is due soon, it's crucial to ensure your current bank details support the payment, or wait until after the due date to switch accounts.",Account & settings,Manage account,0
"Ordered a Samsung Galaxy Tablet three days ago for $199 but got store credit as a refund instead of cash. Need the money back, not credit.",3,"If the store’s return policy only allows refunds in the form of store credit, you are still responsible for your payments to Klarna associated with that purchase. Please contact Klarna if the refund doesn't reflect as expected.",Refunds,Manage refunds,0
need to reset password asap to change payment details,-1,"To log in without your password, just use the email or phone number you registered with, and follow the instructions to get a login link or code via email or text. [4. You will receive an email with a login link or a text with a 6-digit verification code]",Account & settings,Login,1
Getting error message every time I try to log in through the app. Is there another way to update my address without logging in? Need this fixed before my first payment is due.,-1,"If you're unable to log in, please try resetting your password through the 'Forgot Password' option on the login page. If your data was requested to be permanently deleted after account closure, that could be why you can't log in anymore. For updates to your billing address, you usually need to log in to the app, go to the Control Center, and update your account info. If you still face issues, contacting customer support might help.",Account & settings,Login,1
I used an outdated email for my recent $150 Nike purchase from Foot Locker. Payment is due tomorrow. How can I update my Klarna account email?,2,"You can change your email by chatting with Customer Service, who will send a verification code to your new address ([source](chunk id=how-can-i-change-my-email-address)).",Account & settings,Manage account,1
"I ordered a Samsung Galaxy S22 from Best Buy for $799 using Klarna's installment plan, and the payment is due in two days. Is there any chance I might have to pay extra fees or interest if I pay in installments?",1,"You may use Klarna at partnering physical shops and at any prepaid card-accepting online store in the US, and typically, Klarna does not charge interest on its standard installment plans. However, if there are fees, these would be specified before you complete the purchase.",Products & services,Payment options,0
I ordered a pair of Adidas sneakers costing $65 three days ago through Klarna and they still haven't arrived. Any chance you can help expedite this with the merchant itself?,4,"I understand your concern about the delayed delivery of your Adidas sneakers. You might have to wait for some time, like 21 days, before additional actions are required. Keep an eye out to ensure everything has been processed correctly and that you have all the order information handy in case further details are requested.",Delivery & returns,Deliveries,0
"Hey Klarna! I just tried to pay for a pair of Nike Air Zoom Pegasus shoes I bought last week for $125, but the payment failed I've been using Klarna a lot but never had this issue before. Can we extend the due date for now while we try to sort it out?",-1,"Certainly! If the option is available, you can extend your due date via the app. This would reschedule upcoming payments to be withdrawn biweekly from the new payment date. 

To do this, log in to your Klarna app, go to Payments, select your order, and tap Options to extend the due date. Note that you can extend your due date once per order.",Payments,Payment issues,1
"postpone my due date for payments if possible? Need a bit more time, money's a bit tight this month",1,"You need to ensure the payment does not fail on the due date to avoid any late fees. However, you can contact Klarna support to see if your payment schedule can be adjusted or if alternate options are available to manage your payment timing.",Payments,Make & manage payments,0
"My recent purchase for a Samsung Galaxy tablet worth $127 was declined, and now there's an annoying authorization hold on my card for this amount! I need you to help me to remove the hold",-1,"The transaction on your card is an authorization hold which is typically released within 24 hours after a purchase decline. If you’ve been charged a hold past this period, contact the store that the purchase was attempted with for cancellation confirmation. If unresolved, contacting Klarna directly could help with further assistance or confirmation.",Declined purchase,Declined Purchase,1
"I tried to buy a Dyson V11 vacuum for $599 three days ago, but the transaction was declined. Can you help me understand what's going on?",-1,"Hey there! If your purchase was declined, the transaction on your payment card is likely an authorization hold. This is released within 24 hours if the Pay in 4 purchase is declined. However, depending on your financial institution, it may take 1 to 7 business days for this to reflect back on your account balance.",Declined purchase,Declined Purchase,1
"I bought a pair of Nike sneakers for $150 two days ago using Klarna, but the payment isn't showing in my account. Now I'm worried because I see a $150 hold and nothing else. What's going on?",3,"When you make a purchase with Klarna, there’s often a temporary authorization hold that you might see on your account. This pending hold is not actually debited from your account but is a reservation of funds to ensure availability for your order. 'The pending hold is not debited from your account but it does temporarily reduce your available balance.' As soon as the store completes the processing of your order, the hold will be released. If it’s more than 7 business days and the hold hasn’t been released, you might want to check with your bank.",Payments,Payment issues,1
"I just purchased a new pair of Nike sneakers for $120 with my Klarna account. However, my Chase card that I used is nearing its credit limit. Where do I go in Klarna to change my payment to my Wells Fargo account before my payment due hits tomorrow? ",1,"To change your card details, you need to go to the **Control center** and select **Payment methods**. Tap **Add card** or select a stored card and tap **Make card primary** or **Remove your stored card**. Remember, if you're within 3 days of a payment due, adjustments may not be possible: “Payments for already placed purchases will be debited from the card used to place the purchase.”",Account & settings,Manage account,0
How do I make sure only my authorized information stays secure?,2,"To request the deletion of your personal data, you can follow the instructions provided in [this article](https://www.klarna.com/us/customer-service/how-can-i-request-the-deletion-of-my-personal-data/). Meanwhile, ensure you report and cancel any lost or stolen cards immediately to prevent unauthorized access, as advised by our [fraud liability protection program](https://www.klarna.com/us/fraud-liability-protection/).",Fraud & security,Data protection,1
"I tried buying a new Apple Watch for $399 using Klarna like I did last time, but it didn't go through. What can I do to sort this out?",-1,"Each purchase attempt with Klarna generates a new automated approval assessment based on the latest credit data. This means that even if you've been approved in the past, you might experience a decline this time. However, it's important to know that one rejection doesn’t affect your future purchases, so you can try again following the pop-up instructions at checkout.",Declined purchase,Declined Purchase,1
"My account is locked, and I can't get back in. Can you unlock it?",2,"To log in to your Klarna account, open the Klarna app or go to [Log in](https://app.klarna.com/login?auto-login&market=us&utm_campaign=customer-service-faq&utm_medium=referral&utm_source=klarna).",Account & settings,Login,0
Need to switch my payment method! Ordered a Samsung TV for $899 three days ago and picked the wrong payment plan. Is it too late to change this to a different method? Payment is due tomorrow and I'm stressing about this!,1,"Unfortunately, once a payment method is selected at checkout and an order is placed with Klarna, changing the payment method afterward typically isn't possible. However, if 'Pay in 4' was chosen and an alternative plan with a higher first installment was offered due to purchase power issues, adjustments cannot be made after the checkout confirmation [source](https://www.klarna.com/us/customer-service/why-was-the-first-installment-of-my-payment-plan-higher/).",Payments,Make & manage payments,0
"Ordered Adidas sneakers last week for $120, now need to switch cards, but can’t find where to update. Help!",4,"To change your card details, go to [**Control center**](https://app.klarna.com/you/), select **Payment methods**, then tap **Add card** or choose a stored card to make it primary or remove.",Account & settings,Manage account,0
"Just bought a Samsung tablet for $185 three days ago using Klarna, and got a weird email asking for my password today. Is my account secure?",2,"Your account security is important, and it's good you're cautious about emails like these. ""Phishing is when someone initiates fraudulent communications that appear to come from a trusted source."" If you're unsure or didn't expect this email, avoid clicking any links or providing any information. ""If the answer is Yes to some or all of these questions, it might be a potential phishing attack."" For extra security, verify account activities directly in your Klarna app and ensure you follow secure authentication steps. ""We ask you to verify your details to ensure your information, and purchases associated with your email address, are shared securely.""",Fraud & security,Prevent fraud,1
"Tried buying a $150 pair of Nike sneakers 2 days ago with Klarna, but it was declined. I've used Klarna before without an issue. What's going on?",0,"The decline reason is displayed in a pop-up message at checkout. Klarna assesses factors like credit score, spending habits, and real-time financial data. Remember, each purchase gets a new assessment, so past approvals don’t guarantee future ones.",Declined purchase,Declined Purchase,1
"Hey Klarna, I used a one-time card to buy a pair of Adidas sneakers for $200 about 3 days ago, but I entered the wrong shipping address. I don't know how to fix this or stop the payment. Can you help me change the details or get my money back?",-1,"""I’m sorry, but purchases made with a one-time card are non-refundable, which means your payment plan will continue as scheduled.""",Products & services,One-time card,1
I'm still waiting on the $130 refund for the Nike shoes I returned over two weeks ago.,4,"Refunds can take up to 14 days to process. If it has been longer than this, there might be an issue with your connected payment method or bank. Please check if your bank account has changed or if your card is blocked or frozen.",Refunds,Manage refunds,0
"I clicked on a weird link in an email that said it was from Klarna and now I'm worried. I just bought a pair of Nike shoes for $135 three days ago, and I'm scared they'll use my details to make other purchases. Can you help me fix this?",2,Phishing is when someone initiates fraudulent communications that appear to come from a trusted source. It's essential to immediately stop communication and report the attempt. You can find more information and how to report a fraud attempt on Klarna's customer service page.,Fraud & security,Report fraud,1
"I just noticed a charge for $129.99 from 'Gadget World' on my Klarna account for a smartwatch that I didn't buy. Plus, I never got any email or SMS verification for this. This is urgent because the payment is due tomorrow! What should I do?",-1,"It sounds like you may be dealing with an unauthorized transaction on your Klarna account. As a first step, please ensure that your account and email details are secured. ""We ask you to verify your details to ensure your information, and purchases associated with your email address, are shared securely."" Follow this up by contacting Klarna's customer support directly through the app or website to report this transaction. You should also check if there are any other unfamiliar charges and consider changing your passwords as a precaution.",Fraud & security,Report fraud,1
"Hello, I'm worried because I see this $200 charge from ""TechZone"" yesterday on my Klarna statement, but I didn't buy anything like that. Can you help me sort this out quickly? I just started using Klarna and have never contacted support before. Thanks.",-1,"If you don’t recognize a Klarna charge, report the unauthorized charge directly in the app or by contacting Klarna customer service. ""If you receive an email or see a charge linked to Klarna that you don’t recognize, report the unauthorized charge to us."" Make sure you check that you did not select Klarna at checkout by mistake and verify if others in your household used your account. ""If you still do not recognize this Klarna purchase and you believe you may be a victim of identity theft, report it to us directly in the app or by [contacting](https://app.klarna.com/support/) our customer service.""",Fraud & security,Report fraud,1
"Can Klarna help me with a fraudulent charge for $150 on a Gucci bag I never bought? I’m really worried since I don’t recognize this purchase from 2 days ago, and it's showing in my account. Please advise.",2,"We can definitely help you. You should immediately contact Klarna support to report the unauthorized transaction and follow their guidance to secure your account. For further instructions, you can go to [Klarna Support](https://app.klarna.com/support/).",Fraud & security,Report fraud,1
"Hey Klarna, I got this really weird call today from someone saying they were you guys. I don’t usually do this, but I somehow ended up sharing my card details over the phone. Only realized after the call that it might have been a scam. I’m feeling really worried now as I don’t have a lot of experience with these things, and it’s my first time trying to use Klarna. What should I be doing right away to secure my account and ensure my money's safe?",2,"If you believe you may have shared your details with someone posing as Klarna, it's important to report it as potential identity theft. You can do this directly in the app or by contacting our customer service [here](https://app.klarna.com/support/).",Fraud & security,Report fraud,1
"I'm worried someone might have my Klarna account details, there's a charge I don't recognize. How do I make sure my account's secured?",2,"If you still do not recognize this Klarna purchase and you believe you may be a victim of identity theft, report it to us directly in the app or by [contacting](https://app.klarna.com/support/) our customer service. Phishing is when someone initiates fraudulent communications that appear to come from a trusted source.",Fraud & security,Prevent fraud,1
"I got a phone call from someone pretending to be Klarna, and I accidentally gave them my card details. The call felt suspicious, but I realized too late. How can I report this fraud attempt quickly?",2,"Since you've confirmed a potential phishing attack, you should immediately report this to Klarna to prevent any unauthorized use of your card. You can follow the steps outlined on Klarna’s website for reporting fraud attempts. Also, consider canceling your card as an extra precaution to avoid any possible misuse.",Fraud & security,Report fraud,1
"Just got a suspicious call and foolishly shared my Klarna card details. First time using Klarna, worried here! Please pause my transactions.",2,"You should immediately report the suspicious activity in the Klarna app by selecting the unauthorized purchase, and your payments will be paused while they investigate. Additionally, report it to your issuing bank and authorities as advised.",Fraud & security,Report fraud,1
"Received a call from someone saying they're from Klarna, and I accidentally gave them my card info. Need help to ensure everything's safe now.",2,"Hey Klarna, I just got off a call from someone claiming to be you, and I think I might have messed up by giving away my card information. Can someone guide me on securing my account and make sure nothing suspicious is going on? I read that it's important to verify unknown callers and there's some sort of fraud protection program. I really need to sort this out quickly.",Fraud & security,Report fraud,1
Unauthorized purchase on my account,2,"I noticed a charge of $200 for Nike shoes on my account, but I don't remember ordering them. Ordered three days ago with payment due tomorrow. Please help me report this fraud!",Fraud & security,Report fraud,1
Does Klarna share my information with third parties?,2,"Klarna takes your privacy seriously and does not share your information with third parties without your consent. If you've recently made a purchase, such as a Samsung TV for $765, and are wondering about your data safety, rest assured that your data is protected. According to Klarna’s fraud liability protection program, they make sure to protect you from unauthorized access and charges.",Fraud & security,Data protection,1
"I just bought Nike Air Max sneakers for $178 two days ago, and I'm worried. Is Klarna going to share my data with other companies?",0,"If you're concerned about your data being shared with third parties, you can use the Klarna app to manage your data preferences. Navigate to **Settings** in the app, and within **Privacy & Security**, you have the option to limit data sharing or request a data transcript. [If you wish to limit the sharing of data with third parties, have all your personal information deleted or receive a data transcript](https://app.klarna.com/support/).",Fraud & security,Data protection,1
I just bought a Nike Air Max for $200 a couple of days ago using Klarna. I clicked on a weird link in my email today and now I’m worried about my account being hacked! Can I report this somehow? Should I do something now to avoid any fraud?,2,"You can immediately pause any payments and report the unauthorized purchase through the Klarna app. Go to Payments and select the unauthorized purchase, then select Report a problem and choose I suspect identity theft. It's important to also contact your bank and report the related transaction to them.",Fraud & security,Report fraud,1
I received a weird email asking for my klarna password telling me that there was a leak of private date and I needed to reset it asap. What's up with that?,2,"Phishing is when someone initiates fraudulent communications that appear to come from a trusted source. It mainly happens through email (but it can happen through any channel) and the goal is to steal your credit card number, your password or other sensitive data to then use it, for example, to purchase goods or services. If the email you received is asking for personal details or security information, it could be a part of a phishing attack. Klarna takes data protection very seriously and will never ask you to provide sensitive information through email. It is recommended to delete the email and not to click on any links. If you are concerned about your personal data, you can report the phishing attempt to Klarna for further investigation.",Fraud & security,Data protection,0
I got a sketchy email saying I need to verify my details for a $60 purchase at Best Buy I didn't make 4 days ago,2,"If you're unsure about the message's legitimacy, ask yourself: ""Is the sender unknown to you?"" If the answer is yes, it could be a phishing attempt. For your protection, you can request Klarna to delete your personal information to prevent any unauthorized access.",Fraud & security,Data protection,1
"I need to report a purchase I didn't make through Klarna with Nike shoes priced at $175, ordered two days ago.",4,"Your situation sounds distressing, especially as you've noticed this charge for Nike shoes that you didn't authorize. Remember, PSD2 requires strong customer authentication to prevent such instances. It's crucial to contact Klarna support immediately so they can assist you in resolving this.",Fraud & security,Report fraud,0
Is this a scam? Got text saying there were issues with my klarna account. Clicked link and put in info. Now worried someone has my details,2,"First, don't panic. Immediately go to [Control center](https://app.klarna.com/you/) and navigate to **Privacy & Security** to secure your account. Double-check your recent purchases to ensure there are no unauthorized transactions by following the steps in [I don’t recognize a charge, what should I do?](https://www.klarna.com/us/customer-service/i-dont-recognize-a-charge-what-should-i-do/). If you see anything suspicious, contact Klarna support right away to report this issue.",Fraud & security,Report fraud,1
"received an email asking to confirm my payment details today, but something about it felt off. Did you guys send anything to me?",2,"Phishing is when someone initiates fraudulent communications that appear to come from a trusted source. If the email felt off, it might be a potential phishing attack, and you are encouraged to delete the email and possibly report it to Klarna.",Fraud & security,Data protection,1
I clicked a suspicious link and input my Klarna card details two days ago. I didn't think too much about it until I started seeing random transactions on my card I didn't make. Can you help me figure this out?,2,"I understand you're concerned, and it's important to act quickly. Please verify your account details for security, and use Klarna’s fraud liability protection program to report and resolve any unauthorized actions. Also, change your passwords immediately to prevent unauthorized access to your account.",Fraud & security,Report fraud,1
